"Date","Demographic_category","Administered_Dose1","Administered_Dose1_pct_known","Administered_Dose1_pct_US","Administered_Dose2","Administered_Dose2_pct_known","Administered_Dose2_pct_US","Series_Complete_Yes","Series_Complete_Pop_Pct_known","Series_Complete_Pop_Pct_US","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup","census","Administered_Dose1_Last14Days","Administered_Dose1_pct_known_Last14Days","Series_Complete_Yes_Last14Days","Series_Complete_Pop_Pct_known_Last14Days"
"2021-05-10","Age_known",141253461,0,92,98448670,0,92,106719817,0,92,0,0,0,,,,
"2021-05-10","Age_unknown",11566443,0,0,8123345,0,0,8810963,0,0,0,0,0,,,,
"2021-05-10","Ages_<18yrs",2253060,1.6,0,997905,1,0,1010103,0.9,0,3.1,1.4,73037927,562343,5.3,605977,3.5
"2021-05-10","Ages_18-29_yrs",18662059,13.2,0,10578330,10.7,0,11870784,11.1,0,35.2,22.4,53027982,2469499,23.5,3480908,20.1
"2021-05-10","Ages_30-39_yrs",19059125,13.5,0,11985099,12.2,0,13282833,12.4,0,43.5,30.3,43827888,1944066,18.5,3110793,18
"2021-05-10","Ages_40-49_yrs",19956735,14.1,0,12908469,13.1,0,14335529,13.4,0,49.7,35.7,40194520,1847892,17.6,3087323,17.9
"2021-05-10","Ages_50-64_yrs",38456881,27.2,0,26864269,27.3,0,29690303,27.8,0,61.1,47.2,62906022,2618221,24.9,5207759,30.1
"2021-05-10","Ages_65-74_yrs",25247587,17.9,0,20486760,20.8,0,21430964,20.1,0,80.2,68.1,31483433,696894,6.6,1197354,6.9
"2021-05-10","Ages_75+_yrs",17618014,12.5,0,14627838,14.9,0,15099301,14.1,0,78,66.9,22574830,372577,3.5,598897,3.5
"2021-05-10","Race_eth_Hispanic",11022766,13,0,6784258,10.7,0,7485649,11,0,0,0,0,1521920,22.8,1936911,16.3
"2021-05-10","Race_eth_known",85047311,0,55.7,63238151,0,59.3,68127681,0,59,0,0,0,,,,
"2021-05-10","Race_eth_NHAIAN",883478,1,0,670276,1.1,0,700066,1,0,0,0,0,52514,0.8,68968,0.6
"2021-05-10","Race_eth_NHAsian",4976436,5.9,0,3344671,5.3,0,3560810,5.2,0,0,0,0,524461,7.9,973011,8.2
"2021-05-10","Race_eth_NHBlack",7508932,8.8,0,5350663,8.5,0,5818920,8.5,0,0,0,0,725200,10.9,1087307,9.2
"2021-05-10","Race_eth_NHMult_Oth",6999951,8.2,0,5146158,8.1,0,5403384,7.9,0,0,0,0,410742,6.2,783841,6.6
"2021-05-10","Race_eth_NHNHOPI",244752,0.3,0,167050,0.3,0,178401,0.3,0,0,0,0,27888,0.4,35916,0.3
"2021-05-10","Race_eth_NHWhite",53410996,62.8,0,41775075,66.1,0,44980451,66,0,0,0,0,3398472,51,6977345,58.8
"2021-05-10","Race_eth_unknown",67772593,79.7,0,43333864,68.5,0,47403099,69.6,0,0,0,0,3859654,36.7,5427218,31.4
"2021-05-10","Sex_Female",74762005,53.5,0,53424036,54.8,0,57399998,54.3,0,0,0,0,5020044,48.1,8541389,49.8
"2021-05-10","Sex_known",139684166,0,91.4,97518869,0,91.5,105686586,0,91.5,0,0,0,,,,
"2021-05-10","Sex_Male",64922161,46.5,0,44094833,45.2,0,48286588,45.7,0,0,0,0,5413366,51.9,8612993,50.2
"2021-05-10","Sex_unknown",13135738,9.4,0,9053146,9.3,0,9844194,9.3,0,0,0,0,,,,
"2021-05-10","US",152819904,0,0,106572015,0,0,115530780,0,0,0,0,0,,,,
