"jurisdiction","week_of_allocations","pfizer_1st_dose","pfizer_2nd_dose","moderna_1st_dose","moderna_2nd_dose","janssen_1st_dose","total"
"Connecticut",2021-05-10,54990,54990,41300,41300,6400,198980
"Maine",2021-05-10,21060,21060,15800,15800,2500,76220
"Massachusetts",2021-05-10,105300,105300,79500,79500,12300,381900
"New Hampshire",2021-05-10,21060,21060,15900,15900,2500,76420
"Rhode Island",2021-05-10,16380,16380,12400,12400,2000,59560
"Vermont",2021-05-10,10530,10530,7500,7500,1200,37260
"New Jersey",2021-05-10,132210,132210,100700,100700,15600,481420
"New York",2021-05-10,168480,168480,128200,128200,19800,613160
"New York City",2021-05-10,128700,128700,97400,97400,15100,467300
"Puerto Rico",2021-05-10,52650,52650,39400,39400,6100,190200
"U.S. Virgin Islands",2021-05-10,2340,2340,1300,1300,200,7480
"Delaware",2021-05-10,15210,15210,11000,11000,1700,54120
"District of Columbia",2021-05-10,11700,11700,8300,8300,1300,41300
"Maryland",2021-05-10,90090,90090,68000,68000,10500,326680
"Pennsylvania",2021-05-10,170820,170820,129500,129500,20000,620640
"Philadelphia",2021-05-10,24570,24570,18000,18000,2800,87940
"Virginia",2021-05-10,126360,126360,95400,95400,14800,458320
"West Virginia",2021-05-10,28080,28080,21300,21300,3300,102060
"Alabama",2021-05-10,72540,72540,54900,54900,8500,263380
"Florida",2021-05-10,314730,314730,239700,239700,37000,1145860
"Georgia",2021-05-10,149760,149760,113600,113600,17600,544320
"Kentucky",2021-05-10,66690,66690,50000,50000,7800,241180
"Mississippi",2021-05-10,44460,44460,33200,33200,5100,160420
"North Carolina",2021-05-10,150930,150930,114600,114600,17700,548760
"South Carolina",2021-05-10,74880,74880,56300,56300,8700,271060
"Tennessee",2021-05-10,99450,99450,75100,75100,11600,360700
"Chicago",2021-05-10,40950,40950,30600,30600,4800,147900
"Illinois",2021-05-10,149760,149760,113800,113800,17600,544720
"Indiana",2021-05-10,97110,97110,73800,73800,11400,353220
"Michigan",2021-05-10,148590,148590,113100,113100,17500,540880
"Minnesota",2021-05-10,81900,81900,62000,62000,9600,297400
"Ohio",2021-05-10,173160,173160,131500,131500,20300,629620
"Wisconsin",2021-05-10,86580,86580,65900,65900,10200,315160
"Arkansas",2021-05-10,44460,44460,33400,33400,5200,160920
"Louisiana",2021-05-10,69030,69030,51900,51900,8000,249860
"New Mexico",2021-05-10,31590,31590,23700,23700,3600,114180
"Oklahoma",2021-05-10,57330,57330,43200,43200,6700,207760
"Texas",2021-05-10,394290,394290,3e+05,3e+05,46300,1434880
"Iowa",2021-05-10,46800,46800,35100,35100,5500,169300
"Kansas",2021-05-10,42120,42120,32000,32000,5000,153240
"Missouri",2021-05-10,90090,90090,68600,68600,10600,327980
"Nebraska",2021-05-10,28080,28080,21200,21200,3300,101860
"Colorado",2021-05-10,81900,81900,62300,62300,9700,298100
"Montana",2021-05-10,16380,16380,12000,12000,1900,58660
"North Dakota",2021-05-10,11700,11700,8700,8700,1400,42200
"South Dakota",2021-05-10,12870,12870,9600,9600,1500,46440
"Utah",2021-05-10,40950,40950,31200,31200,4900,149200
"Wyoming",2021-05-10,9360,9360,6600,6600,1000,32920
"Arizona",2021-05-10,102960,102960,77900,77900,12000,373720
"California",2021-05-10,575640,575640,438100,438100,67600,2095080
"Hawaii",2021-05-10,22230,22230,16300,16300,2600,79660
"Nevada",2021-05-10,43290,43290,32900,32900,5100,157480
"American Samoa",2021-05-10,0,0,0,0,0,0
"Guam",2021-05-10,0,0,0,0,0,0
"Marshall Islands",2021-05-10,0,0,0,0,0,0
"Micronesia",2021-05-10,0,0,0,0,0,0
"Mariana Islands",2021-05-10,0,0,0,0,0,0
"Palau",2021-05-10,0,0,0,0,0,0
"Alaska",2021-05-10,16380,16380,12100,12100,1900,58860
"Idaho",2021-05-10,24570,24570,18200,18200,2900,88440
"Oregon",2021-05-10,62010,62010,47100,47100,7300,225520
"Washington",2021-05-10,109980,109980,83600,83600,12900,400060
"Federal Entities",2021-05-10,218790,218790,161100,161100,33200,792980
"Connecticut",2021-05-03,54990,54990,40400,40400,8300,199080
"Maine",2021-05-03,21060,21060,15400,15400,3200,76120
"Massachusetts",2021-05-03,105300,105300,77700,77700,16000,382000
"New Hampshire",2021-05-03,21060,21060,15500,15500,3200,76320
