"state","n_pharmacies","available_pharmacies","pct_available"
"AK",65,44,67.6923076923077
"AL",869,318,36.5937859608746
"AR",349,125,35.8166189111748
"AZ",825,541,65.5757575757576
"CA",3636,1977,54.3729372937294
"CO",748,357,47.7272727272727
"CT",412,265,64.3203883495146
"DC",97,32,32.9896907216495
"DE",154,83,53.8961038961039
"FL",3219,1047,32.5256290773532
"GA",1375,699,50.8363636363636
"HI",134,55,41.044776119403
"IA",408,208,50.9803921568627
"ID",161,94,58.3850931677019
"IL",1468,872,59.4005449591281
"IN",737,489,66.3500678426052
"KS",361,181,50.1385041551247
"KY",644,357,55.4347826086957
"LA",527,227,43.0740037950664
"MA",773,421,54.4631306597671
"MD",620,298,48.0645161290323
"ME",137,66,48.1751824817518
"MI",1268,761,60.0157728706625
"MN",452,247,54.646017699115
"MO",675,343,50.8148148148148
"MS",359,161,44.8467966573816
"MT",100,56,56
"NC",1114,649,58.2585278276481
"ND",91,21,23.0769230769231
"NE",265,127,47.9245283018868
"NH",140,63,45
"NJ",986,332,33.6713995943205
"NM",214,17,7.94392523364486
"NV",312,187,59.9358974358974
"NY",1916,807,42.1189979123173
"OH",1307,825,63.1216526396327
"OK",487,158,32.4435318275154
"OR",407,201,49.3857493857494
"PA",1479,913,61.7308992562542
"PR",168,41,24.4047619047619
"RI",121,70,57.8512396694215
"SC",681,290,42.5844346549192
"SD",82,30,36.5853658536585
"TN",905,524,57.9005524861878
"TX",3238,1236,38.1717109326745
"UT",258,126,48.8372093023256
"VA",947,508,53.6430834213305
"VI",1,0,0
"VT",67,34,50.7462686567164
"WA",740,432,58.3783783783784
"WI",561,306,54.5454545454545
"WV",259,141,54.4401544401544
"WY",67,36,53.7313432835821
,1,0,0
